Texto fonte - inglês,Tradução - português,Subprojecto
"WordPress grows when people like you tell their friends about it, and the thousands of businesses and services that are built on and around WordPress share that fact with their users. We&#8217;re flattered every time someone spreads the good word, just make sure to <a href=""%s"">check out our trademark guidelines</a> first.","O WordPress cresce quando pessoas como você o divulgam junto dos seus amigos e quando os milhares de empresas e serviços que são construídos sobre e ao redor do WordPress o compartilham com os seus utilizadores. Ficamos muito contentes sempre que alguém divulga a boa palavra, mas lembre-se de <a href=""%s"">verificar as nossas diretrizes de marca</a> antes de o fazer.",Admin
"WordPress is Free and open source software, built by a distributed community of mostly volunteer developers from around the world. WordPress comes with some awesome, worldview-changing rights courtesy of its <a href=""%s"">license</a>, the GPL.","O WordPress é um software livre e de código aberto, desenvolvido por uma comunidade distribuída, constituida na maior parte por voluntários, em todo mundo. O WordPress vem com direitos fantásticos e inovadores graças à sua <a href=""%s"">licença GPL</a>.",Admin
Project Leaders,Chefes de projecto,Admin
"WordPress is created by a <a href=""%1$s"">worldwide team</a> of passionate individuals. <a href=""%2$s"">Get involved in WordPress</a>.","O WordPress é criado por uma <a href=""%1$s"">equipa mundial</a> de entusiastas. <a href=""%2$s"">participe no WordPress</a>.",Admin
All Comments,Todos os comentários,Admin
Core Contributors to WordPress %s,Contribuidores do core do WordPress %s,Admin
"Cofounder, Project Lead","Co-fundador, Project Lead",Admin
Deactivate [removing-widget],Desactivar,Admin
Credits,Créditos,Admin
"Want to see your name in lights on this page? <a href=""%s"">Get involved in WordPress</a>.","Quer ver o seu nome nesta página? <a href=""%s"">Participe no WordPress</a>.",Admin
Lead Developer,Lead Developer,Admin
Freedoms,Liberdades,Admin
"Don&#8217;t you wish all software came with these freedoms? So do we! For more information, check out the <a href=""https://www.fsf.org/"">Free Software Foundation</a>.","Não era fantástico se qualquer software fosse fornecido com estas liberdades? Para obter mais informações, visite a <a href=""https://www.fsf.org/"">Free Software Foundation</a>.",Admin
Your browser is out of date!,O seu navegador está desactualizado!,Admin
You are using an insecure browser!,Está a usar um navegador inseguro!,Admin
You have the freedom to distribute copies of your modified versions to others. By doing this you can give the whole community a chance to benefit from your changes.,"Tem a liberdade de distribuir cópias das suas versões modificadas. Ao fazer isso, pode dar a toda a comunidade a oportunidade de beneficiar das suas alterações.",Admin
You have the freedom to redistribute copies of the original program so you can help your neighbor.,"Tem a liberdade de distribuir cópias do programa original, para que possa ajudar o seu vizinho.",Admin
"You have access to the source code, the freedom to study how the program works, and the freedom to change it to make it do what you wish.","Tem acesso ao código-fonte, a liberdade de pesquisar como funciona o programa e a liberdade de o modificar para que ele faça o que deseja.",Admin
"You have the freedom to run the program, for any purpose.","Tem a liberdade de executar o programa, para qualquer fim.",Admin
"You can choose one of your previously uploaded headers, or show a random one.",Pode escolher um cabeçalho que já tenha carregado ou mostrar um cabeçalho aleatório.,Admin
"If you don&lsquo;t want to upload your own image, you can use one of these cool headers, or show a random one.","Se não quer carregar uma imagem sua, pode usar um destes cabeçalhos ou mostrar um cabeçalho aleatório.",Admin
You can use one of these cool headers or show a random one on each page.,Pode escolher um destes cabeçalhos ou mostrar um cabeçalho aleatório em cada página.,Admin
Collapse menu,Minimizar,Admin
Drop-ins are advanced plugins in the %s directory that replace WordPress functionality when present.,"Os <em>Drop-ins</em> são plugins avançados que, quando presentes no directório %s, substituem funcionalidades do WordPress.",Admin
Uploaded Images,Imagens carregadas,Admin
<strong>Random:</strong> Show a different image on each page.,<strong>Aleatório:</strong> Mostrar uma imagem diferente em cada página.,Admin
Layout,Layout,Admin
You have specified this user for deletion:,Especificou este utilizador para eliminação:,Admin
&larr; Back to Users,&larr; Voltar aos utilizadores,Admin
%1$s of %2$s [paging],%1$s de %2$s,Admin
%s Page Template,Modelo de página %s,Admin
You cannot delete a plugin while it is active on the main site.,Não pode eliminar um plugin enquanto ele estiver activo no site principal.,Admin
This plugin may be active on other sites in the network.,Este plugin pode estar activo em outros sites da rede.,Admin
Add Existing [user],Adicionar existente,Admin
Default Post Format,Formato de artigo por omissão,Admin
Any edits to files from this screen will be reflected on all sites in the network.,Todas as edições em ficheiros nesta página serão aplicadas a todos os sites na rede.,Admin
"If you want to make changes but don&#8217;t want them to be overwritten when the plugin is updated, you may be ready to think about writing your own plugin. For information on how to edit plugins, write your own from scratch, or just better understand their anatomy, check out the links below.","Se quiser fazer alterações, mas não quiser que elas se percam quando o plugin for actualizado, comece a pensar em desenvolver os seus próprios plugins. Para obter informações sobre como editar plugins, escrever o seu próprio plugin a partir do zero, ou apenas perceber melhor a sua anatomia, visite as ligações abaixo.",Admin
"This screen lists all the existing users for your site. Each user has one of five defined roles as set by the site admin: Site Administrator, Editor, Author, Contributor, or Subscriber. Users with roles other than Administrator will see fewer options in the dashboard navigation when they are logged in, based on their role.","Esta página lista todos os utilizadores existentes no seu site. Cada utilizador tem um de cinco papéis, conforme estabelecido pelo administrador do site: administrador, autor, editor, colaborador ou subscritor. Utilizadores com papéis que não o de administrador vão ver menos opções no painel, com base no seu papel.",Admin
The boxes on your Dashboard screen are:,As caixas no seu painel são:,Admin
"Press This is a bookmarklet that makes it easy to blog about something you come across on the web. You can use it to just grab a link, or to post an excerpt. Press This will even allow you to choose from images included on the page and use them in your post. Just drag the Press This link on this screen to your bookmarks bar in your browser, and you&#8217;ll be on your way to easier content creation. Clicking on it while on another website opens a popup window with all these options.",Press This é um <em>bookmarklet</em> que facilita a publicação de qualquer conteúdo que encontrar na web. Pode usá-lo apenas para uma ligação ou para publicar um excerto. O Press This permite-lhe até escolher de entre as imagens incluídas na página e usá-las no seu artigo. Basta arrastar o marcador Press This desta página para a barra de favoritos do seu navegador e está pronto para criar conteúdo mais facilmente. Ao clicar no marcador quando visitar outro site abre-se uma janela com todas estas opções.,Admin
Sample Page,Exemplo de página,Admin
sample-page,pagina-exemplo,Admin
Retro (Generated),Retro (Gerado),Admin
"You only have one theme enabled for this site right now. Visit the Network Admin to <a href=""%1$s"">enable</a> more themes.","Tem apenas um tema activo neste site. Visite a administração de rede para <a href=""%1$s"">activar</a> mais temas.",Admin
"You only have one theme enabled for this site right now. Visit the Network Admin to <a href=""%1$s"">enable</a> or <a href=""%2$s"">install</a> more themes.","Tem apenas um tema activo neste site. Visite a administração de rede para <a href=""%1$s"">activar</a> ou <a href=""%2$s"">instalar</a> mais temas.",Admin
"This is an example page. It's different from a blog post because it will stay in one place and will show up in your site navigation (in most themes). Most people start with an About page that introduces them to potential site visitors. It might say something like this: 

<blockquote>Hi there! I'm a bike messenger by day, aspiring actor by night, and this is my website. I live in Los Angeles, have a great dog named Jack, and I like pi&#241;a coladas. (And gettin' caught in the rain.)</blockquote> 

...or something like this: 

<blockquote>The XYZ Doohickey Company was founded in 1971, and has been providing quality doohickeys to the public ever since. Located in Gotham City, XYZ employs over 2,000 people and does all kinds of awesome things for the Gotham community.</blockquote> 

As a new WordPress user, you should go to <a href=""%s"">your dashboard</a> to delete this page and create new pages for your content. Have fun!","Isto é um exemplo de página. É diferente de um artigo porque fica no mesmo sítio e aparece na navegação do seu site (na maior parte dos temas). O normal é começar com uma página ""Acerca de"", que apresenta o site aos visitantes. Poderia ser qualquer coisa deste tipo: 

<blockquote>Olá! Faço entregas durante o dia, mas estudo para ser actor à noite. Este é o meu site. Vivo em Lisboa, tenho um cão chamado Belarmino e gosto de caipirinhas (e de ver a relva a crescer).</blockquote> 

...ou deste: 

<blockquote>A Gambuzinos XPTO foi fundada em 1971 e tem, desde então, fornecido gambuzinos da mais alta qualidade aos seus clientes. Localizada em Gotham, a Gambuzinos XPTO emprega mais de 2,000 colaboradores e é um dos pilares da comunidade de Gotham.</blockquote> 

Visite <a href=""%s"">o seu painel</a> para apagar esta página ou para criar mais páginas para o seu conteúdo. Divirta-se!",Admin
Super admin privileges cannot be removed because this user has the network admin email.,Os privilégios de super admin não podem ser revogados porque o utilizador tem o email de admin.,Admin
"You only have one theme installed right now. Live a little! You can choose from over 1,000 free themes in the WordPress Theme Directory at any time: just click on the <a href=""%s"">Install Themes</a> tab above.","Actualmente tem apenas um tema instalado. Em qualquer altura pode escolher entre mais de 1.000 temas gratuitos, disponíveis no directório de temas do WordPress: clique no separador <a href=""%s"">Instalar temas</a> acima.",Admin
"One or more database tables are unavailable. To allow WordPress to attempt to repair these tables, press the &#8220;Repair Database&#8221; button. Repairing can take a while, so please be patient.","Uma ou mais tabelas da base de dados não estão disponíveis. Para permitir que o WordPress tente repara-las, clique em &#8220;Reparar base de dados&#8221;. A reparação pode demorar um pouco, por isso seja paciente.",Admin
Visual Editor RTL Stylesheet,Folha de estilos RTL do editor visual,Admin
This is a file in your current parent theme.,Este é um ficheiro do seu tema superior actual.,Admin
"This child theme inherits templates from a parent theme, %s.",Este tema dependente herda templates do tema superior %s.,Admin
No Update Required,Nenhuma actualização necessária,Admin
"WordPress has been updated! Before we send you on your way, we have to update your database to the newest version.",O WordPress foi actualizado! Antes de seguir caminho é preciso actualizar a base de dados para a nova versão.,Admin
Database Update Required,É necessária uma actualização da base de dados ,Admin
Update Complete,Actualização completa,Admin
WordPress &rsaquo; Update,WordPress &rsaquo; Actualização,Admin
"The database update process may take a little while, so please be patient.","O processo de actualização da base de dados poderá demorar algum tempo, por favor seja paciente.",Admin
You are about to install WordPress %s <strong>in English (US).</strong> There is a chance this update will break your translation. You may prefer to wait for the localized version to be released.,Está prestes a instalar o WordPress %s <strong>em Inglês (EUA)</strong>. Existe a possibilidade de esta actualização alterar a sua tradução. Pode preferir esperar pelo lançamento da versão traduzida.,Admin
Update WordPress Database,Actualizar a base de dados do WordPress,Admin
Your WordPress database has been successfully updated!,A sua base de dados do WordPress foi actualizada com êxito!,Admin
Update package not available.,O pacote de instalação não está disponível.,Admin
Update Plugin,Actualizar plugin,Admin
Theme updated successfully.,Tema actualizado com sucesso.,Admin
Theme update failed.,A actualização do tema falhou.,Admin
Plugin update failed.,A actualização do plugin falhou.,Admin
"There is a new version of %1$s available. <a href=""%2$s"" %3$s>View version %4$s details</a>. <em>Automatic update is unavailable for this plugin.</em>","Está disponível uma nova versão de %1$s. <a href=""%2$s"" %3$s>Ver detalhes da versão %4$s</a>. <em>A actualização automática não está disponível para este plugin.</em>.",Admin
Update Theme,Actualizar tema,Admin
Plugin updated successfully.,Plugin actualizado com sucesso.,Admin
All content,Todo o conteúdo,Admin
Authors:,Autores:,Admin
Choose what to export,Escolha o que quer exportar,Admin
"This will contain all of your posts, pages, comments, custom fields, terms, navigation menus, and custom posts.","Inclui todos os seus artigos, páginas, comentários, campos personalizados, termos, menus de navegação e tipos de conteúdo personalizados.",Admin
Date range:,Período:,Admin
%1$s &#8212; WordPress,%1$s &#8212; WordPress,Admin
This screen allows you to edit five fields for metadata in a file within the media library.,Esta página permite-lhe editar cinco campos de metadados de um ficheiro da biblioteca multimédia.,Admin
"For images only, you can click on Edit Image under the thumbnail to expand out an inline image editor with icons for cropping, rotating, or flipping the image as well as for undoing and redoing. The boxes on the right give you more options for scaling the image, for cropping it, and for cropping the thumbnail in a different way than you crop the original image. You can click on Help in those boxes to get more information.","Apenas para imagens, pode clicar em Editar Imagem por baixo da miniatura para ampliar um editor de imagem embutido com ícones para recortar, girar ou inverter a imagem, bem como para desfazer e refazer. As caixas do lado direito dão-lhe mais opções para redimensionar a imagem, para a recortar e para recortar a miniatura de maneira diferente da imagem original. Pode clicar em Ajuda nas caixas para obter mais informações.",Admin
Note that you crop the image by clicking on it (the Crop icon is already selected) and dragging the cropping frame to select the desired part. Then click Save to retain the cropping.,"Note que recorta a imagem clicando sobre ela (o ícone de recorte já está seleccionado) e arrastando a moldura de corte para seleccionar a parte desejada. Em seguida, clique em Guardar para manter o corte.",Admin
Remember to click Update Media to save metadata entered or changed.,Lembre-se de clicar em Actualizar multimédia para guardar os metadados introduzidos ou alterados.,Admin
"The Available Widgets section contains all the widgets you can choose from. Once you drag a widget into a sidebar, it will open to allow you to configure its settings. When you are happy with the widget settings, click the Save button and the widget will go live on your site. If you click Delete, it will remove the widget.","A secção de Widgets disponíveis contém todos os widgets que pode escolher. Arrastar um widget para uma barra lateral fará com que ele se abra, permitindo que configure as suas opções. Quando estiver satisfeito com as configurações do widget, clique no botão Guardar e o widget ficará activo no seu site. Se clicar em Eliminar, ele será removido.",Admin
Email or Username,Email ou nome de utilizador,Admin
%1$s &lsaquo; %2$s &#8212; WordPress,%1$s &lsaquo; %2$s &#8212; WordPress,Admin
Search Installed Themes,Pesquisar temas instalados,Admin
"<strong>Please Note:</strong> Any customizations you have made to theme files will be lost. Please consider using <a href=""%s"">child themes</a> for modifications.","<strong>Atenção:</strong> Todas as personalizações que fez nos ficheiros do tema serão perdidas. Por favor considere usar <a href=""%s"">temas dependentes</a> para modificações.",Admin
"Sticky <span class=""count"">(%s)</span>
Sticky <span class=""count"">(%s)</span>
[posts]","Fixo <span class=""count"">(%s)</span>
Fixos <span class=""count"">(%s)</span>",Admin
Check Again,Verificar de novo,Admin
Last checked on %1$s at %2$s.,Última verificação em %1$s às %2$s.,Admin
Please select one or more themes to update.,Por favor seleccione um ou mais temas a actualizar.,Admin
Please select one or more plugins to update.,Por favor seleccione um ou mais plugins a actualizar.,Admin
"The update process is starting. This process may take a while on some hosts, so please be patient.","A actualização está a começar. Este processo pode demorar mais tempo em alguns serviços de alojamento, por favor, seja paciente.",Admin
Apply Filters,Aplicar filtros,Admin
Translation Ready,Pronto para tradução,Admin
Front Page Posting,Publicação na página inicial,Admin
Editor Style,Estilos no editor,Admin
BuddyPress,BuddyPress,Admin
RTL Language Support,Suporte para idiomas RTL,Admin
"To perform the requested action, WordPress needs to access your web server.","Para executar a acção solicitada, o WordPress precisa de aceder ao seu servidor.",Admin
No themes match your request.,Nenhum tema corresponde ao seu pedido.,Admin
Current Page,Página actual,Admin
"%s user
%s users","%s utilizador
%s utilizadores",Admin
"%s site
%s sites","%s site
%s sites",Admin
You have %1$s and %2$s.,Tem %1$s e %2$s.,Admin
Create a New User,Criar novo utilizador,Admin
Search Sites,Procurar sites,Admin
http://wordpress.org/news/feed/,http://wp-portugal.com/feed/,Admin
https://wordpress.org/news/,http://wp-portugal.com/,Admin
(Signup has been disabled. Only members of this site can comment.),(O registo foi desactivado. Apenas os membros deste site podem comentar.),Admin
"There is a new version of %1$s available. <a href=""%2$s"" %3$s>View version %4$s details</a>.","Está disponível uma nova versão de %1$s. <a href=""%2$s"" %3$s> Ver detalhes da versão %4$s</a>.",Admin
Click Save Menu to make pending menu items public.,Faça clique no menu Guardar para tornar públicos os itens de menu pendentes.,Admin
Storage Space,Espaço de armazenamento,Admin
Create a New Site,Criar novo site,Admin
Images of exactly <strong>%1$d &times; %2$d pixels</strong> will be used as-is.,Imagens com o tamanho exacto de <strong>%1$d &times; %2$d píxeis</strong> serão utilizadas como estão.,Admin
Crop and Publish,Cortar e publicar,Admin
"XFN stands for <a href=""http://gmpg.org/xfn/"">XHTML Friends Network</a>, which is optional. WordPress allows the generation of XFN attributes to show how you are related to the authors/owners of the site to which you are linking.","XFN significa <a href=""http://gmpg.org/xfn/"">XHTML Friends Network</a>, que é opcional. O WordPress permite a criação de atributos XFN para mostrar a sua relação com os autores/donos do site que está a vincular.",Admin
FTP/SSH Username,Nome de utilizador FTP/SSH,Admin
FTP/SSH Password,Senha FTP/SSH,Admin
FTP Username,Nome de utilizador FTP,Admin
FTP Password,Senha FTP,Admin
"Many themes show some sidebar widgets by default until you edit your sidebars, but they are not automatically displayed in your sidebar management tool. After you make your first widget change, you can re-add the default widgets by adding them from the Available Widgets area.","Muitos temas apresentam por omissão alguns widgets nas barras laterais até que seja manualmente adicionado algum widget, mas estes não aparecem na ferramenta de administração das barras laterais. Após efectuar a primeira alteração aos widgets, pode voltar a adicionar os widgets por omissão, adicionando-os a partir da área de widgets disponíveis.",Admin
"If you pick an option other than Plain, your general URL path with structure tags (terms surrounded by <code>%</code>) will also appear in the custom structure field and your path can be further modified there.","Se escolher uma opção diferente do padrão, o URL genérico com estrutura de etiquetas, os termos envoltos em <code>%</code> vão também aparecer no campo de estrutura personalizada e o caminho poderá ser modificado aí.",Admin
"When you assign multiple categories or tags to a post, only one can show up in the permalink: the lowest numbered category. This applies if your custom structure includes <code>%category%</code> or <code>%tag%</code>.","Quando atribui múltiplas categorias ou etiquetas a um artigo, só uma aparece na ligação permanente: a categoria mais elevada na lista. Aplica-se também se a estrutura personalizada inclui <code>%category%</code> ou <code>%tag%</code>.",Admin
"The Optional fields let you customize the &#8220;category&#8221; and &#8220;tag&#8221; base names that will appear in archive URLs. For example, the page listing all posts in the &#8220;Uncategorized&#8221; category could be <code>/topics/uncategorized</code> instead of <code>/category/uncategorized</code>.","Os campos opcionais permitem personalizar os nomes base da &#8220;categoria&#8221; e &#8220;etiqueta&#8221; que irão aparecer nos URLs de arquivo. Por exemplo, a página que lista todos os artigos da categoria &#8220;geral&#8221; pode ser <code>/topicos/geral</code> em vez de <code>/categoria/geral</code>.",Admin
"You can choose what&#8217;s displayed on the front page of your site. It can be posts in reverse chronological order (classic blog), or a fixed/static page. To set a static home page, you first need to create two <a href=""%s"">Pages</a>. One will become the front page, and the other will be where your posts are displayed.","Pode escolher o que é apresentado na página inicial do seu site. Podem ser apresentados artigos numa ordem cronológica invertida (blog clássico) ou uma página fixa/estática. Para definir uma página estática, necessita de criar duas <a href=""%s"">páginas</a>. Uma página será a sua página inicial e a outra servirá para apresentar os seus artigos.",Admin
"To add a new user for your site, click the Add New button at the top of the screen or Add New in the Users menu section.","Para adicionar um novo utilizador ao seu site, pressione o botão ""Adicionar novo"" no topo do ecrã ou ""Adicionar novo"" no menu de Utilizadores.",Admin
"If you want to remove the widget but save its setting for possible future use, just drag it into the Inactive Widgets area. You can add them back anytime from there. This is especially helpful when you switch to a theme with fewer or different widget areas.","Se pretende remover o widget gravando as suas definições para um uso posterior, arraste-o simplesmente para a área de widgets inactivos. Pode adicioná-los novamente em qualquer momento. Esta funcionalidade é especialmente útil quando muda para um tema com menos áreas de widgets, ou áreas com diferentes definições.",Admin
"Most themes display the site title at the top of every page, in the title bar of the browser, and as the identifying name for syndicated feeds. The tagline is also displayed by many themes.","A maioria dos temas mostra o título do site no topo de cada página, na barra de título do navegador e como o nome identificando os feeds. A descrição também é mostrada por muitos temas.",Admin
You can set maximum sizes for images inserted into your written content; you can also insert an image as Full Size.,Pode definir dimensões máximas para as imagens inseridas no seu conteúdo escrito; pode também inserir uma imagem com o seu tamanho original.,Admin
"<strong>Order</strong> &mdash; Pages are usually ordered alphabetically, but you can choose your own order by entering a number (1 for first, etc.) in this field.","<strong> Ordem</strong> &mdash; As páginas são normalmente ordenadas alfabeticamente, mas pode escolher sua própria ordem, digitando um número (1 para o primeiro, etc.) neste campo.",Admin
"If you do not remember your credentials, you should contact your web host.","Se não se lembra das suas credenciais, deverá contactar o seu serviço de alojamento web.",Admin
Please enter your FTP credentials to proceed.,Por favor insira as suas credenciais de FTP para continuar.,Admin
Please enter your FTP or SSH credentials to proceed.,Por favor insira as suas credenciais de FTP ou SSH para continuar.,Admin
Your profile contains information about you (your &#8220;account&#8221;) as well as some personal options related to using WordPress.,"O seu perfil contém informações sobre si (a sua &#8220;conta&#8221;), bem como algumas opções pessoais relacionadas com a utilização do WordPress.",Admin
You can Upload a theme manually if you have already downloaded its ZIP archive onto your computer (make sure it is from a trusted and original source). You can also do it the old-fashioned way and copy a downloaded theme&#8217;s folder via FTP into your %s directory.,"Pode carregar um tema manualmente, se já guardou o arquivo ZIP no seu computador (certifique-se de que o obteve a partir de uma fonte confiável e original). Pode também fazê-lo via FTP, copiando a pasta do tema descarregado para a seu directório %s.",Admin
"<strong>Send Trackbacks</strong> &mdash; Trackbacks are a way to notify legacy blog systems that you&#8217;ve linked to them. Enter the URL(s) you want to send trackbacks. If you link to other WordPress sites they&#8217;ll be notified automatically using pingbacks, and this field is unnecessary.",<strong>Enviar trackbacks</strong> &mdash; Trackbacks são uma maneira de notificar sistemas de blogging antigos que se ligou a eles. Digite o(s) URL para onde pretende enviar trackbacks. Se se ligar a outros sites WordPress eles serão notificados automaticamente usando pingbacks e este campo não é necessário.,Admin
"If you delete a link, it will be removed permanently, as Links do not have a Trash function yet.","Se apagar uma ligação, será removida permanentemente, pois as ligações ainda não têm a função de reciclagem/lixo.",Admin
"You can add links here to be displayed on your site, usually using <a href=""%s"">Widgets</a>. By default, links to several sites in the WordPress community are included as examples.","Poderá adicionar aqui as suas ligações para serem visíveis no seu site usando <a href=""%s"">Widgets</a>. Por omissão, ligações para vários sites da comunidade WordPress estão incluídos como exemplo.",Admin
"You can use the editor to make changes to any of your plugins&#8217; individual PHP files. Be aware that if you make changes, plugins updates will overwrite your customizations.","Pode usar o editor para modificar qualquer ficheiro PHP dos seus plugins. Tenha em atenção que, caso faça modificações, as actualizações dos plugins irão sobrepor-se às suas alterações.",Admin
Administrators have access to all the administration features.,Os administradores têm acesso a todas as ferramentas administrativas.,Admin
Contributors can write and manage their posts but not publish posts or upload media files.,"Os Colaboradores podem escrever e gerir os seus próprios artigo, mas não podem publicá-los nem carregar ficheiros multimédia.",Admin
"You can also create posts with the <a href=""%s"">Press This bookmarklet</a>.","Pode também criar artigos com o <a href=""%s"">bookmarklet Press This</a>.",Admin
"<strong>Slug</strong> &mdash; The &#8220;slug&#8221; is the URL-friendly version of the name. It is usually all lowercase and contains only letters, numbers, and hyphens.","<strong>URL</strong> &mdash; O URL legível do nome. É geralmente em letras minúsculas e contém apenas letras, números e hífens.",Admin
You can customize the look of your site without touching any of your theme&#8217;s code by using a custom background. Your background can be an image or a color.,Pode personalizar a aparência do seu web site usando uma imagem de fundo à sua escolha. O seu fundo pode ser uma imagem ou uma cor sólida.,Admin
Don&#8217;t forget to click on the Save Changes button when you are finished.,Não se esqueça de clicar no botão Guardar alterações quando terminar.,Admin
"Editors can publish posts, manage posts as well as manage other people&#8217;s posts, etc.","Os Editores podem publicar artigos, gerir artigos e ainda gerir artigos de outras pessoas, etc",Admin
Remember to click the Update Profile button when you are finished.,Não se esqueça de clicar no botão Actualizar perfil quando terminar.,Admin
Required fields are indicated; the rest are optional. Profile information will only be displayed if your theme is set up to do so.,"Os campos obrigatórios são indicados, o resto é opcional. As informações de perfil só serão exibidas caso o seu tema seja criado para esse fim.",Admin
"Your username cannot be changed, but you can use other fields to enter your real name or a nickname, and change which name to display on your posts.","Não pode alterar o seu nome de utilizador, mas poderá usar outros campos para inserir o seu nome real ou alcunha e alterar o nome exibido nas suas publicações.",Admin
You can edit the information left in a comment if needed. This is often useful when you notice that a commenter has made a typographical error.,"Pode editar a informação deixada num comentário, se necessário. Isto é frequentemente útil quando detecta que um comentador fez um erro de digitação.",Admin
"You can also moderate the comment from this screen using the Status box, where you can also change the timestamp of the comment.","Pode também moderar o comentário nesta página, usando a caixa de Estado, onde também pode alterar a data do comentário.",Admin
"The WordPress URL and the Site URL can be the same (example.com) or different; for example, having the WordPress core files (example.com/wordpress) in a subdirectory instead of the root directory.","O URL do WordPress e o URL do Site podem ser os mesmos (exemplo.com) ou diferentes, por exemplo tendo o núcleo do WordPress num directório (exemplo.com/wordpress) em vez de o ter no directório de raiz.",Admin
You must click the Save Changes button at the bottom of the screen for new settings to take effect.,"Tem de clicar no botão Guardar alterações, na parte inferior da página, para as novas configurações tomarem efeito.",Admin
This screen contains the settings that affect the display of your content.,Esta painel contém as definições que afectam a exibição do seu conteúdo.,Admin
The fields on this screen determine some of the basics of your site setup.,Os campos deste painel determinam as configurações de base do seu site.,Admin
UTC means Coordinated Universal Time.,UTC significa Coordinated Universal Time.,Admin
"The boxes for link name, web address, and description have fixed positions, while the others may be repositioned using drag and drop. You can also hide boxes you don&#8217;t use in the Screen Options tab, or minimize boxes by clicking on the title bar of the box.","As caixas para o nome da ligação, endereço web e descrição têm posições fixas, enquanto as restantes podem ser reposicionadas arrastando com o rato. Também pode ocultar as caixas que não usa no separador Opções do Ecrã ou minimizar caixas clicando na barra de título da caixa.",Admin
An updated version of WordPress is available.,Está disponível uma versão mais recente do WordPress.,Admin
Your themes are all up to date.,Os seus temas estão actualizados.,Admin
You have the latest version of WordPress.,O WordPress está na versão mais recente.,Admin
Your plugins are all up to date.,Os seus plugins estão actualizados.,Admin
"While your site is being updated, it will be in maintenance mode. As soon as your updates are complete, your site will return to normal.","Enquanto o seu site estiver a ser actualizado, estará em modo de manutenção. Assim que as actualizações estiverem completas, o seu site regressará ao normal.",Admin
Function Name&hellip;,Nome da Função&hellip;,Admin
Activate Plugin &amp; Run Importer,Activar o plugin e correr o importador,Admin
Return to Importers,Voltar aos importadores,Admin
You can add or edit links on this screen by entering information in each of the boxes. Only the link&#8217;s web address and name (the text you want to display on your site as the link) are required fields.,Pode adicionar ou editar ligações neste ecrã introduzindo informação em cada uma das caixas. Apenas o endereço web e o nome (o texto que deve aparecer no site como a ligação) são campos obrigatórios.,Admin
"Categories can be selectively converted to tags using the <a href=""%s"">category to tag converter</a>.","As categorias podem ser convertidas selectivamente em etiquetas utilizado o <a href=""%s"">conversor de categorias em etiquetas</a>.",Admin
Home: %s [nav menu front page title],Início: %s,Admin
ERROR:,ERRO:,Admin
"Once generated, your WXR file can be imported by another WordPress site or by another blogging platform able to access this format.","Uma vez gerado, o seu ficheiro WXR pode ser importado por outro site WordPress ou por outra plataforma que suporte este formato.",Admin
"This screen lists links to plugins to import data from blogging/content management platforms. Choose the platform you want to import from, and click Install Now when you are prompted in the popup window. If your platform is not listed, click the link to search the plugin directory for other importer plugins to see if there is one for your platform.","Esta página lista ligações para plugins que importam dados de outras plataformas de blogging/gestão de conteúdos. Escolha a plataforma de que quer importar e clique em Instalar Agora quando lhe for pedido na janela de popup. Se a plataforma que pretende não estiver listada, clique na ligação para pesquisar no repositório de plugins por outros plugins de importação para ver se existe algum para a sua plataforma.",Admin
"Choose a plugin to edit from the dropdown menu and click the Select button. Click once on any file name to load it in the editor, and make your changes. Don&#8217;t forget to save your changes (Update File) when you&#8217;re finished.",Escolha um plugin para editar através do selector e clique no botão Seleccionar. Clique uma vez no nome de qualquer ficheiro para o carregar no editor e fazer alterações. Não se esqueça de guardar as suas alterações (Actualizar ficheiro) quando tiver terminado.,Admin
You can customize the display of this screen using the Screen Options tab and/or the dropdown filters above the links table.,Pode personalizar a aparência deste ecrã usando o separador de Opções de Ecrã e/ou os filtros acima da tabela de ligações.,Admin
"Most of the time, plugins play nicely with the core of WordPress and with other plugins. Sometimes, though, a plugin&#8217;s code will get in the way of another plugin, causing compatibility issues. If your site starts doing strange things, this may be the problem. Try deactivating all your plugins and re-activating them in various combinations until you isolate which one(s) caused the issue.","A maior parte das vezes, os plugins dão-se bem com o núcleo do WordPress e com outros plugins. Ainda assim, por vezes, o código de um plugin pode intrometer-se no caminho de outro plugin e causar problemas de incompatibilidade. Se o seu site começar a fazer coisas estranhas, este pode ser o problema. Experimente desactivar todos os seus plugins e reactivá-los em diferentes combinações até conseguir isolar o(s) que causa(m) o problema.",Admin
"After typing in your edits, click Update File.","Depois de finalizar a sua edição, carregue em ""Actualizar ficheiro""",Admin
<strong>Advice:</strong> think very carefully about your site crashing if you are live-editing the theme currently in use.,<strong>Conselho:</strong> pense bem se o seu site poderá ir abaixo caso esteja a editar directamente o tema em uso.,Admin
